postId;title;license;level;pdf;epub
1876;King Kozoman's Letter;cc-by-nc-sa-4-0;Level 3;/en/pdf/King-Kozomans-Letter.pdf;/en/epub/King-Kozomans-Letter.epub
1880;Koria the Crow;CC-BY-4.0;Level 3;/en/pdf/Koria-the-Crow.pdf;/en/epub/Koria-the-Crow.epub
1888;Legend of the Red Moon;cc-by-nc-sa-4-0;Level 3;/en/pdf/Legend-of-the-Red-Moon.pdf;/en/epub/Legend-of-the-Red-Moon.epub
1894;Lily's Underwater Journey;cc-by-nc-sa-4-0;Level 3;/en/pdf/Lilys-Underwater-Journey.pdf;/en/epub/Lilys-Underwater-Journey.epub
1898;Little Billy, What Do You Want to Be?;cc-by-nc-sa-4-0;Level 3;/en/pdf/Little-Billy-What-Do-You-Want-to-Be.pdf;/en/epub/Little-Billy-What-Do-You-Want-to-Be.epub
1928;MacGaiver the Galatic Taxi Driver;cc-by-nc-sa-4-0;Level 3;/en/pdf/MacGaiver-the-Galatic-Taxi-Driver.pdf;/en/epub/MacGaiver-the-Galatic-Taxi-Driver.epub
1936;May Searches for the Sea;CC-BY-4.0;Level 3;/en/pdf/May-Searches-for-the-Sea.pdf;/en/epub/May-Searches-for-the-Sea.epub
1940;Message from the Fridge;cc-by-nc-sa-4-0;Level 3;/en/pdf/Message-from-the-Fridge.pdf;/en/epub/Message-from-the-Fridge.epub
1948;Mission of the Fish;CC-BY-4.0;Level 3;/en/pdf/Mission-of-the-Fish.pdf;/en/epub/Mission-of-the-Fish.epub
1960;Mr. Maseleni;CC-BY-4.0;Level 3;/en/pdf/Mr-Maseleni.pdf;/en/epub/Mr-Maseleni.epub
1984;My First Day at School;CC-BY-4.0;Level 3;/en/pdf/My-First-Day-at-School.pdf;/en/epub/My-First-Day-at-School.epub
2014;Namorutunga;CC-BY-4.0;Level 3;/en/pdf/Namorutunga.pdf;/en/epub/Namorutunga.epub
2020;Neema's Birthday;CC-BY-4.0;Level 3;/en/pdf/Neemas-Birthday.pdf;/en/epub/Neemas-Birthday.epub
